HMSL Small Mol HMS LINCS ID,HMSL Small Mol Name,Gene ID,Binding Class,HUGO Gene Symbol
10343-101,Baicalein,18,10,ABAT
10346-110,Valproic acid,18,2,ABAT
10001-101,Seliciclib,25,10,ABL1
10003-101,ALW-II-49-7,25,10,ABL1
10004-101,AT-7519,25,10,ABL1
10004-102,AT-7519,25,10,ABL1
10004-999,AT-7519,25,10,ABL1
10006-101,AZD7762,25,2,ABL1
10008-101,Sorafenib,25,2,ABL1
10008-104,Sorafenib,25,2,ABL1
10008-999,Sorafenib,25,2,ABL1
10010-101,CP724714,25,10,ABL1
10011-101,Alvocidib,25,3,ABL1
10011-999,Alvocidib,25,3,ABL1
10012-101,GSK429286A,25,10,ABL1
10013-101,GSK461364,25,10,ABL1
10013-999,GSK461364,25,10,ABL1
10014-101,GW843682X,25,2,ABL1
10016-101,HG-5-88-01,25,10,ABL1
10017-101,HG-6-64-01,25,2,ABL1
10018-101,Neratinib,25,3,ABL1
10018-999,Neratinib,25,3,ABL1
10020-101,Dasatinib,25,1,ABL1
10020-999,Dasatinib,25,1,ABL1
10021-101,Tozasertib,25,1,ABL1
10021-999,Tozasertib,25,1,ABL1
10022-101,GNF2,25,2,ABL1
10023-103,Imatinib,25,1,ABL1
10023-999,Imatinib,25,1,ABL1
10024-101,NVP-TAE684,25,1,ABL1
10024-999,NVP-TAE684,25,1,ABL1
10025-101,CGP60474,25,10,ABL1
10026-101,PD173074,25,10,ABL1
10027-101,Crizotinib,25,1,ABL1
10027-999,Crizotinib,25,1,ABL1
10028-102,BMS345541,25,10,ABL1
10028-999,BMS345541,25,10,ABL1
10032-101,Saracatinib,25,1,ABL1
10035-101,Sigma A6730,25,10,ABL1
10035-109,Sigma A6730,25,10,ABL1
10036-101,SB 239063,25,2,ABL1
10037-101,AC220,25,3,ABL1
10037-999,AC220,25,3,ABL1
10038-101,WH-4-023,25,2,ABL1
10040-101,R406,25,2,ABL1
10040-999,R406,25,2,ABL1
10041-101,BI-2536,25,3,ABL1
10041-999,BI-2536,25,3,ABL1
10042-101,Motesanib,25,3,ABL1
10042-999,Motesanib,25,3,ABL1
10043-101,KIN001-127,25,10,ABL1
10045-101,A443654,25,10,ABL1
10047-101,Pictilisib,25,10,ABL1
10047-999,Pictilisib,25,10,ABL1
10048-101,PD184352,25,10,ABL1
10048-999,PD184352,25,10,ABL1
10049-101,PLX-4720,25,3,ABL1
10049-999,PLX-4720,25,3,ABL1
10051-104,Lapatinib,25,10,ABL1
10051-999,Lapatinib,25,10,ABL1
10053-101,ZSTK474,25,10,ABL1
10056-101,Selumetinib,25,10,ABL1
10056-999,Selumetinib,25,10,ABL1
10059-101,AZD-6482,25,10,ABL1
10060-101,TAK-715,25,2,ABL1
10061-101,NU7441,25,10,ABL1
10064-101,WYE-125132,25,10,ABL1
10066-101,MLN8054,25,2,ABL1
10066-999,MLN8054,25,2,ABL1
10067-101,Barasertib,25,3,ABL1
10067-999,Barasertib,25,3,ABL1
10069-101,Enzastaurin,25,10,ABL1
10069-999,Enzastaurin,25,10,ABL1
10070-101,NPK76-II-72-1,25,10,ABL1
10071-101,Palbociclib,25,3,ABL1
10071-102,Palbociclib,25,3,ABL1
10072-101,PF562271,25,3,ABL1
10073-101,PHA-793887,25,10,ABL1
10079-101,Torin1,25,10,ABL1
10080-101,Torin2,25,10,ABL1
10083-101,WZ-7043,25,10,ABL1
10085-101,WZ4002,25,10,ABL1
10086-101,XMD11-50,25,10,ABL1
10087-101,XMD11-85h,25,10,ABL1
10089-101,XMD14-99,25,10,ABL1
10091-101,XMD16-144,25,2,ABL1
10092-101,JWE-035,25,2,ABL1
10093-101,XMD8-85,25,10,ABL1
10094-101,XMD8-92,25,10,ABL1
10096-101,ZM-447439,25,3,ABL1
10097-101,Erlotinib,25,1,ABL1
10097-102,Erlotinib,25,1,ABL1
10097-999,Erlotinib,25,1,ABL1
10098-101,Gefitinib,25,2,ABL1
10098-999,Gefitinib,25,2,ABL1
10099-101,Nilotinib,25,1,ABL1
10099-999,Nilotinib,25,1,ABL1
10101-101,PD0325901,25,10,ABL1
10102-101,Taxol,25,10,ABL1
10102-999,Taxol,25,10,ABL1
10103-101,Staurosporine,25,2,ABL1
10103-999,Staurosporine,25,2,ABL1
10104-101,RO-3306,25,10,ABL1
10105-101,MPS-1-IN-1,25,10,ABL1
10114-101,Pazopanib,25,2,ABL1
10114-102,Pazopanib,25,2,ABL1
10114-999,Pazopanib,25,2,ABL1
10115-102,LDN-193189,25,2,ABL1
10120-102,Canertinib,25,1,ABL1
10120-999,Canertinib,25,1,ABL1
10123-101,SGX523,25,3,ABL1
10123-999,SGX523,25,3,ABL1
10125-101,PHA-665752,25,3,ABL1
10125-999,PHA-665752,25,3,ABL1
10126-101,PI103,25,10,ABL1
10126-102,PI103,25,10,ABL1
10126-999,PI103,25,10,ABL1
10127-101,Dovitinib,25,1,ABL1
10127-999,Dovitinib,25,1,ABL1
10128-101,GSK 690693,25,10,ABL1
10128-999,GSK 690693,25,10,ABL1
10130-101,Masitinib,25,1,ABL1
10130-999,Masitinib,25,1,ABL1
10132-101,SNS-032,25,10,ABL1
10132-999,SNS-032,25,10,ABL1
10133-101,Afatinib,25,2,ABL1
10133-999,Afatinib,25,2,ABL1
10135-101,Linsitinib,25,2,ABL1
10138-101,Ruxolitinib,25,3,ABL1
10138-105,Ruxolitinib,25,3,ABL1
10138-999,Ruxolitinib,25,3,ABL1
10141-101,Fedratinib,25,1,ABL1
10141-999,Fedratinib,25,1,ABL1
10147-101,Buparlisib,25,10,ABL1
10150-101,Ponatinib,25,1,ABL1
10151-101,Nintedanib,25,1,ABL1
10151-999,Nintedanib,25,1,ABL1
10152-101,MK 1775,25,2,ABL1
10157-101,Foretinib,25,1,ABL1
10157-999,Foretinib,25,1,ABL1
10159-101,Pelitinib,25,2,ABL1
10162-101,SP600125,25,10,ABL1
10165-101,PF04217903,25,3,ABL1
10166-101,BAY61-3606,25,2,ABL1
10166-107,BAY61-3606,25,2,ABL1
10167-101,SB 203580,25,3,ABL1
10167-999,SB 203580,25,3,ABL1
10168-101,VX-745,25,10,ABL1
10168-999,VX-745,25,10,ABL1
10169-101,Doramapimod,25,3,ABL1
