experiment	freq
frozenset({nan, 'ONCOLEAD_CELL_A204', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_A549', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_ASPC1', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_BXPC3', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_COLO205', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_DU145', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_HEPG2', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_HL60', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_HT29', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_IGROV1', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_LOVO', 'Melphalan'})	3
frozenset({nan, 'Melphalan', 'ONCOLEAD_CELL_MDAMB231'})	3
frozenset({nan, 'ONCOLEAD_CELL_MDAMB435', 'Melphalan'})	3
frozenset({nan, 'Melphalan', 'ONCOLEAD_CELL_MDAMB436'})	3
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_MIAPACA2', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_MV411', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_NCIH460', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_PANC1', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_RAMOS', 'Melphalan'})	3
frozenset({nan, 'Melphalan', 'ONCOLEAD_CELL_RDES'})	3
frozenset({nan, 'ONCOLEAD_CELL_SAOS2', 'Melphalan'})	3
frozenset({nan, 'Melphalan', 'ONCOLEAD_CELL_SW620'})	3
frozenset({nan, 'ONCOLEAD_CELL_U2OS', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_WSUNHL', 'Melphalan'})	3
frozenset({nan, 'Fluorouracil', 'ONCOLEAD_CELL_A204'})	3
frozenset({nan, 'ONCOLEAD_CELL_A549', 'Fluorouracil'})	3
frozenset({nan, 'ONCOLEAD_CELL_ASPC1', 'Fluorouracil'})	3
frozenset({nan, 'ONCOLEAD_CELL_BXPC3', 'Fluorouracil'})	3
