experiment	freq
frozenset({nan, 'Monotherapy', 'ONCOLEAD_CELL_A204', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'ONCOLEAD_CELL_A549', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'ONCOLEAD_CELL_ASPC1', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'ONCOLEAD_CELL_BXPC3', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'Monotherapy', 'Arabinofuranoside_Cytarabine', 'ONCOLEAD_CELL_COLO205'})	3
frozenset({nan, 'Monotherapy', 'ONCOLEAD_CELL_DU145', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'Monotherapy', 'Arabinofuranoside_Cytarabine', 'ONCOLEAD_CELL_HEPG2'})	3
frozenset({nan, 'ONCOLEAD_CELL_HL60', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'Arabinofuranoside_Cytarabine', 'Monotherapy', 'ONCOLEAD_CELL_HT29'})	3
frozenset({nan, 'ONCOLEAD_CELL_IGROV1', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'ONCOLEAD_CELL_LOVO', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'Monotherapy', 'Arabinofuranoside_Cytarabine', 'ONCOLEAD_CELL_MDAMB231'})	3
frozenset({nan, 'Monotherapy', 'ONCOLEAD_CELL_MDAMB435', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'Monotherapy', 'Arabinofuranoside_Cytarabine', 'ONCOLEAD_CELL_MDAMB436'})	3
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'ONCOLEAD_CELL_MIAPACA2', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'ONCOLEAD_CELL_MV411', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'ONCOLEAD_CELL_NCIH460', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'Monotherapy', 'ONCOLEAD_CELL_PANC1', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'Arabinofuranoside_Cytarabine', 'Monotherapy', 'ONCOLEAD_CELL_RAMOS'})	3
frozenset({nan, 'Monotherapy', 'Arabinofuranoside_Cytarabine', 'ONCOLEAD_CELL_RDES'})	3
frozenset({nan, 'Monotherapy', 'ONCOLEAD_CELL_SAOS2', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'Monotherapy', 'Arabinofuranoside_Cytarabine', 'ONCOLEAD_CELL_SW620'})	3
frozenset({nan, 'ONCOLEAD_CELL_U2OS', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'Monotherapy', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'Monotherapy', 'ONCOLEAD_CELL_WSUNHL', 'Arabinofuranoside_Cytarabine'})	3
frozenset({nan, 'Monotherapy', 'ONCOLEAD_CELL_A204', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_A549', 'Monotherapy', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_ASPC1', 'Monotherapy', 'Melphalan'})	3
frozenset({nan, 'ONCOLEAD_CELL_BXPC3', 'Monotherapy', 'Melphalan'})	3
