.identifier_batch	.identifier_sample_name	.metadata_moa	.metadata_treatment_remarks	.metadata_treatment	.response_aoc	.metadata_cancer_type	.metadata_cancer_subtype
Oncolead_000	ONCOLEAD_CELL_A204	Cytostatic_Intercalator	NA	Melphalan	0.47	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_A2780	Cytostatic_Intercalator	NA	Melphalan	0.5379999999999999	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_A549	Cytostatic_Intercalator	NA	Melphalan	0.447	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_ASPC1	Cytostatic_Intercalator	NA	Melphalan	0.481	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_BXPC3	Cytostatic_Intercalator	NA	Melphalan	0.453	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_CACO2	Cytostatic_Intercalator	NA	Melphalan	0.484	colon	colon
Oncolead_000	ONCOLEAD_CELL_COLO205	Cytostatic_Intercalator	NA	Melphalan	0.47	colon	colon
Oncolead_000	ONCOLEAD_CELL_DLD1	Cytostatic_Intercalator	NA	Melphalan	0.471	colon	colon
Oncolead_000	ONCOLEAD_CELL_DU145	Cytostatic_Intercalator	NA	Melphalan	0.36	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_EFO21	Cytostatic_Intercalator	NA	Melphalan	0.341	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_EJ28	Cytostatic_Intercalator	NA	Melphalan	0.421	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_HCT15	Cytostatic_Intercalator	NA	Melphalan	0.453	colon	colon
Oncolead_000	ONCOLEAD_CELL_HEPG2	Cytostatic_Intercalator	NA	Melphalan	0.39	liver	liver
Oncolead_000	ONCOLEAD_CELL_HL60	Cytostatic_Intercalator	NA	Melphalan	0.47	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_HS578T	Cytostatic_Intercalator	NA	Melphalan	0.403	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_HS729	Cytostatic_Intercalator	NA	Melphalan	0.39	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_HT29	Cytostatic_Intercalator	NA	Melphalan	0.373	colon	colon
Oncolead_000	ONCOLEAD_CELL_IGROV1	Cytostatic_Intercalator	NA	Melphalan	0.546	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_J82	Cytostatic_Intercalator	NA	Melphalan	0.421	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_JIMT1	Cytostatic_Intercalator	NA	Melphalan	0.298	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_KASUMI1	Cytostatic_Intercalator	NA	Melphalan	0.502	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_L363	Cytostatic_Intercalator	NA	Melphalan	0.494	hematological	heme - myeloma
Oncolead_000	ONCOLEAD_CELL_LOVO	Cytostatic_Intercalator	NA	Melphalan	0.419	colon	colon
Oncolead_000	ONCOLEAD_CELL_MDAMB231	Cytostatic_Intercalator	NA	Melphalan	0.46	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB435	Cytostatic_Intercalator	NA	Melphalan	0.45	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_MDAMB436	Cytostatic_Intercalator	NA	Melphalan	0.63	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB468	Cytostatic_Intercalator	NA	Melphalan	0.5710000000000001	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MHHES1	Cytostatic_Intercalator	NA	Melphalan	0.484	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_MIAPACA2	Cytostatic_Intercalator	NA	Melphalan	0.422	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_MINO	Cytostatic_Intercalator	NA	Melphalan	0.499	hematological	heme - mantle cell lymphoma
Oncolead_000	ONCOLEAD_CELL_MT3	Cytostatic_Intercalator	NA	Melphalan	0.464	colon	colon
Oncolead_000	ONCOLEAD_CELL_MV411	Cytostatic_Intercalator	NA	Melphalan	0.585	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_NCIH292	Cytostatic_Intercalator	NA	Melphalan	0.421	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH358M	Cytostatic_Intercalator	NA	Melphalan	0.366	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH460	Cytostatic_Intercalator	NA	Melphalan	0.417	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH82	Cytostatic_Intercalator	NA	Melphalan	0.488	lung	lung - SCLC
Oncolead_000	ONCOLEAD_CELL_OVCAR3	Cytostatic_Intercalator	NA	Melphalan	0.51	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_OVCAR4	Cytostatic_Intercalator	NA	Melphalan	0.443	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_PANC1	Cytostatic_Intercalator	NA	Melphalan	0.468	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_PC3	Cytostatic_Intercalator	NA	Melphalan	0.502	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_PLCPRF5	Cytostatic_Intercalator	NA	Melphalan	0.395	liver	liver
Oncolead_000	ONCOLEAD_CELL_RAMOS	Cytostatic_Intercalator	NA	Melphalan	0.46	hematological	heme - burkitt lymphoma
