.identifier_batch	.identifier_sample_name	.metadata_moa_1	.metadata_moa_2	.metadata_treatment_remarks	.metadata_treatment_1	.metadata_treatment_2	.response_aoc	.response_bliss	.metadata_cancer_type	.metadata_cancer_subtype
Oncolead_000	ONCOLEAD_CELL_A204	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.419064348	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_A2780	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.533996915	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_A549	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.43099999	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_ASPC1	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.239655001	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_BXPC3	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.269262015	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_CACO2	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.196488085	colon	colon
Oncolead_000	ONCOLEAD_CELL_COLO205	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.262990972	colon	colon
Oncolead_000	ONCOLEAD_CELL_DLD1	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.453606305	colon	colon
Oncolead_000	ONCOLEAD_CELL_DU145	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.450751689	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_EFO21	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.354058292	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_EJ28	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.506854958	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_HCT15	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.435110981	colon	colon
Oncolead_000	ONCOLEAD_CELL_HEPG2	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.26535204	liver	liver
Oncolead_000	ONCOLEAD_CELL_HS578T	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.370397656	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_HS729	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.229199438	sarcoma	sarcoma - rhabdomyosarcoma
